Current_1,Acceleration,Voltage_1,Current_2,Voltage_2,Current_3,Voltage_3,Power,formattedTimestamp,stringPersonalizado
20.43,8.73,242.4,18.95,243,21.11,241,9054.4,14/11/2023 15:53:35,1

8.31,20.43,242.4,18.95,243,21.11,241,9054.4,14/11/2023 15:53:35,1

20.43,242.4,18.95,243,21.11,241,9054.4,12.23,14/11/2023 15:53:35,1

20.43,242.4,18.95,243,21.11,241,9054.4,8.97,14/11/2023 15:53:35,1

20.43,242.4,18.95,243,21.11,13.44,241,9054.4,14/11/2023 15:53:35,1

8.71,20.43,242.4,18.95,243,21.11,241,9054.4,14/11/2023 15:53:36,1

20.43,242.4,18.95,9.32,243,21.11,241,9054.4,14/11/2023 15:53:36,1

9.81,20.43,242.4,18.95,243,21.11,241,9054.4,14/11/2023 15:53:36,1

11.6,20.43,242.4,18.95,243,21.11,241,9054.4,14/11/2023 15:53:36,1

9.26,20.43,242.4,18.95,243,21.11,241,9054.4,14/11/2023 15:53:36,1

11.69,20.43,242.4,18.95,243,21.11,241,9054.4,14/11/2023 15:53:36,1

20.43,242.4,18.95,243,21.11,241,9.95,9054.4,14/11/2023 15:53:36,1

13.08,20.43,242.4,18.95,243,21.11,241,9054.4,14/11/2023 15:53:36,1

20.43,242.4,8.02,18.95,243,21.11,241,9054.4,14/11/2023 15:53:36,1

8.89,20.43,242.4,18.95,243,21.11,241,9054.4,14/11/2023 15:53:36,1

8.93,20.43,242.4,18.95,243,21.11,241,9054.4,14/11/2023 15:53:36,1

9.62,20.43,242.4,18.95,243,21.11,241,9054.4,14/11/2023 15:53:36,1

10.45,20.43,242.4,18.95,243,21.11,241,9054.4,14/11/2023 15:53:36,1

10.04,20.43,242.4,18.95,243,21.11,241,9054.4,14/11/2023 15:53:36,1

9.91,20.08,242.7,19.18,243.5,21.11,241,9034,14/11/2023 15:53:36,1

12.74,20.08,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:36,1

8.99,20.08,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:36,1

9.78,20.08,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:36,1

20.08,7.86,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:36,1

9.49,20.08,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:37,1

20.08,8.34,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:37,1

20.08,242.7,11.49,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:37,1

20.08,9.65,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:37,1

8.46,20.08,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:37,1

20.08,242.7,19.18,243.5,20.85,241.5,9064,11.47,14/11/2023 15:53:37,1

20.08,9.45,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:37,1

20.08,242.7,19.18,243.5,20.85,241.5,9064,8.89,14/11/2023 15:53:37,1

20.08,11.18,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:37,1

11.39,20.08,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:37,1

12.58,20.08,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:37,1

8.78,20.08,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:37,1

11.97,20.08,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:37,1

9.21,20.08,242.7,19.18,243.5,20.85,241.5,9064,14/11/2023 15:53:37,1

10.46,20.08,242.7,19.1,243.5,20.85,241.5,9063.3,14/11/2023 15:53:37,1

10.93,20.08,242.7,19.1,243.5,20.85,241.5,9063.3,14/11/2023 15:53:37,1

11.19,20.08,242.7,19.1,243.5,20.83,241.6,9057.2,14/11/2023 15:53:37,1

20.08,242.7,19.1,243.5,20.83,241.6,9057.2,9.88,14/11/2023 15:53:38,1

242.7,19.1,243.5,20.83,241.6,9057.2,9.59,20.01,14/11/2023 15:53:38,1

242.6,12.93,19.1,243.5,20.83,241.6,9040,20.01,14/11/2023 15:53:38,1

242.6,19.1,243.5,20.83,241.6,9040,8.96,20.01,14/11/2023 15:53:38,1

242.6,19.1,243.5,11.75,20.83,241.6,9040,20.01,14/11/2023 15:53:38,1

242.6,19.1,243.5,20.83,241.6,9040,20.01,12.38,14/11/2023 15:53:38,1

11.85,20.01,242.6,19.1,243.5,20.83,241.6,9040,14/11/2023 15:53:38,1

20.01,9.67,242.6,19.1,243.5,20.83,241.6,9040,14/11/2023 15:53:38,1

20.01,9.97,242.6,19.1,243.5,20.83,241.6,9040,14/11/2023 15:53:38,1

10.29,20.01,242.6,19.1,243.5,20.83,241.6,9040,14/11/2023 15:53:38,1

20.01,242.6,19.1,243.5,20.83,241.6,9040,6.65,14/11/2023 15:53:38,1

9.67,20.01,242.6,19.1,243.5,20.83,241.6,9040,14/11/2023 15:53:38,1

20.01,12.14,242.6,19.1,243.5,20.83,241.6,9040,14/11/2023 15:53:38,1

5.65,20.01,242.6,19.1,243.5,20.83,241.6,9040,14/11/2023 15:53:38,1

9.46,20.01,242.6,19.1,243.5,20.83,241.6,9040,14/11/2023 15:53:38,1

13.13,20.01,242.6,19.1,243.5,20.83,241.6,9040,14/11/2023 15:53:38,1

7.75,20.01,242.6,19.1,243.5,20.83,241.6,9040,14/11/2023 15:53:38,1

20.01,242.6,19.1,243.5,20.83,241.6,9040,11.95,14/11/2023 15:53:38,1

20.01,242.6,19.1,243.5,8.66,20.83,241.6,9040,14/11/2023 15:53:39,1

20.01,242.6,19.1,243.5,20.83,241.6,9040,9.73,14/11/2023 15:53:39,1

20.01,242.6,19.1,243.5,20.83,241.6,9040,8.56,14/11/2023 15:53:39,1

10.53,19.98,242.7,19.06,243.6,20.83,241.6,9025.7,14/11/2023 15:53:39,1

19.98,242.7,11.73,19.06,243.6,20.83,241.6,9025.7,14/11/2023 15:53:39,1

5.64,19.98,242.7,19.06,243.6,20.78,241.6,9017.2,14/11/2023 15:53:39,1

8.75,19.98,242.7,19.06,243.6,20.78,241.6,9017.2,14/11/2023 15:53:39,1

19.98,10.79,242.7,19.06,243.6,20.78,241.6,9017.2,14/11/2023 15:53:39,1

9.53,19.98,242.7,19.06,243.6,20.78,241.6,9017.2,14/11/2023 15:53:39,1

9.18,19.98,242.7,19.06,243.6,20.78,241.6,9017.2,14/11/2023 15:53:39,1

19.98,11.99,242.7,19.06,243.6,20.78,241.6,9017.2,14/11/2023 15:53:39,1

19.98,242.7,19.06,243.6,20.78,241.6,9017.2,9.59,14/11/2023 15:53:39,1

19.06,243.6,20.78,241.6,9017.2,9.38,19.98,242.7,14/11/2023 15:53:39,1

13.55,19.06,243.6,20.78,241.6,9017.2,19.98,242.7,14/11/2023 15:53:39,1

19.06,243.6,20.78,241.6,9017.2,11.75,19.98,242.7,14/11/2023 15:53:39,1

19.06,243.6,12.76,20.78,241.6,9017.2,19.98,242.7,14/11/2023 15:53:39,1

19.06,243.6,20.78,241.6,9017.2,7.58,19.98,242.7,14/11/2023 15:53:39,1

19.06,243.6,20.78,241.6,9017.2,7.45,19.98,242.7,14/11/2023 15:53:40,1

9.57,19.06,243.6,20.78,241.6,9017.2,19.98,242.7,14/11/2023 15:53:40,1

19.06,243.6,9.85,20.78,241.6,9017.2,19.98,242.7,14/11/2023 15:53:40,1

