Tipo_corte,Current_1,Voltage_1,Current_2,Current_3,Voltage_3,formattedTimestamp,stringPersonalizado
alta,20.71,238.5,19.94,22.09,238.3,08/11/2023 15:46:50,1

20.71,238.5,19.94,22.09,238.3,9.72,08/11/2023 15:46:51,1

12.49,20.71,238.5,19.94,22.09,238.3,08/11/2023 15:46:51,1

9,20.71,238.5,19.78,21.83,240.4,08/11/2023 15:46:51,1

9.14,20.71,238.5,19.78,21.83,240.4,08/11/2023 15:46:51,1

20.71,11.34,238.5,19.78,21.83,240.4,08/11/2023 15:46:51,1

20.71,238.5,19.78,21.83,240.4,10.26,08/11/2023 15:46:51,1

12.46,20.65,241.5,19.78,21.83,240.4,08/11/2023 15:46:51,1

9.4,20.65,241.5,19.78,21.83,240.4,08/11/2023 15:46:51,1

13.82,20.65,241.5,19.78,21.83,240.4,08/11/2023 15:46:51,1

11.56,20.65,241.5,19.78,21.83,240.4,08/11/2023 15:46:51,1

20.65,241.5,19.78,21.83,7.88,240.4,08/11/2023 15:46:51,1

12.06,20.65,241.5,19.78,21.83,240.4,08/11/2023 15:46:51,1

20.65,241.5,19.78,8.78,21.83,240.4,08/11/2023 15:46:51,1

20.65,9.28,241.5,19.78,21.83,240.4,08/11/2023 15:46:51,1

20.65,241.5,7.58,19.78,21.83,240.4,08/11/2023 15:46:51,1

20.65,241.5,19.78,10.5,21.83,240.4,08/11/2023 15:46:51,1

8.03,20.65,241.5,19.78,21.83,240.4,08/11/2023 15:46:51,1

8.86,20.65,241.5,19.78,21.83,240.4,08/11/2023 15:46:52,1

8.61,20.65,241.5,19.78,21.83,240.4,08/11/2023 15:46:52,1

20.65,7.46,241.5,19.78,21.83,240.4,08/11/2023 15:46:52,1

9.08,20.65,241.5,19.78,21.83,240.4,08/11/2023 15:46:52,1

8.26,20.65,241.5,19.78,21.83,240.4,08/11/2023 15:46:52,1

20.65,241.5,19.78,11.19,21.83,240.4,08/11/2023 15:46:52,1

13.44,20.65,241.5,19.78,21.83,240.4,08/11/2023 15:46:52,1

10.2,20.65,241.5,19.78,21.83,240.4,08/11/2023 15:46:52,1

9.85,20.65,241.5,19.78,21.83,240.4,08/11/2023 15:46:52,1

9.45,20.6,241.5,19.72,21.83,240.4,08/11/2023 15:46:52,1

20.6,241.5,19.72,6.72,21.75,240.4,08/11/2023 15:46:52,1

20.6,241.5,19.72,21.75,240.4,10.8,08/11/2023 15:46:52,1

20.6,10.56,241.5,19.72,21.75,240.4,08/11/2023 15:46:52,1

20.6,241.5,15.48,19.72,21.75,240.4,08/11/2023 15:46:52,1

9.15,20.6,241.5,19.72,21.75,240.4,08/11/2023 15:46:52,1

10.49,20.6,241.5,19.72,21.75,240.4,08/11/2023 15:46:52,1

12.57,20.6,241.5,19.72,21.75,240.4,08/11/2023 15:46:52,1

13.33,20.6,241.5,19.72,21.75,240.4,08/11/2023 15:46:52,1

11.11,20.6,241.5,19.72,21.75,240.4,08/11/2023 15:46:52,1

8.36,20.6,241.5,19.72,21.75,240.4,08/11/2023 15:46:53,1

20.6,241.5,19.72,9.99,21.75,240.4,08/11/2023 15:46:53,1

20.6,241.5,8.8,19.72,21.75,240.4,08/11/2023 15:46:53,1

20.6,241.5,19.72,21.75,240.4,9.98,08/11/2023 15:46:53,1

20.6,241.5,11.25,19.72,21.75,240.4,08/11/2023 15:46:53,1

9.25,20.6,241.5,19.72,21.75,240.4,08/11/2023 15:46:53,1

20.57,241.3,19.74,21.76,240.2,7.35,08/11/2023 15:46:54,1

10.54,20.57,241.3,19.74,21.76,240.2,08/11/2023 15:46:54,1

