Current_1,Voltage_1,Current_2,Voltage_2,Current_3,Voltage_3,Power,Acceleration,formattedTimestamp,stringPersonalizado
0.62,254,0.63,255.3,0.68,252,283.9,9.91,09/11/2023 18:52:20,16

9.89,0.62,253.9,0.63,255.2,0.68,251.8,283.7,09/11/2023 18:52:21,16

9.98,0.62,254,0.63,255.3,0.68,251.9,283.9,09/11/2023 18:52:23,16

9.93,0.62,254,0.63,255.2,0.68,251.9,283.6,09/11/2023 18:52:25,16

9.94,0.62,254,0.63,255.3,0.68,251.9,283.6,09/11/2023 18:52:27,16

10,0.62,254.1,0.63,255.4,0.68,252,284,09/11/2023 18:52:30,16

9.88,0.62,252.4,0.62,253.7,0.68,250.4,280.1,09/11/2023 18:52:32,16

9.93,0.62,253.7,0.63,255,0.68,251.7,283.3,09/11/2023 18:52:34,16

9.94,0.62,253.5,0.62,254.9,0.68,251.6,283.1,09/11/2023 18:52:36,16

9.87,0.62,253.5,0.62,254.8,0.68,251.6,282.9,09/11/2023 18:52:39,16

9.88,0.62,253.5,0.63,254.8,0.68,251.5,283,09/11/2023 18:52:41,16

10.02,0.62,253.6,0.62,254.8,0.68,251.5,283,09/11/2023 18:52:43,16

9.84,0.62,253.6,0.62,254.5,0.68,250.4,282.1,09/11/2023 18:52:45,16

9.87,0.62,253.5,0.62,254.1,0.68,250,281.4,09/11/2023 18:52:47,16

9.9,0.62,253.5,0.62,254,0.68,250,281.1,09/11/2023 18:52:50,16

9.99,0.62,253.4,0.62,254.7,0.68,251.5,282.6,09/11/2023 18:52:52,16

9.93,0.62,253.6,0.62,254.9,0.68,251.6,283.1,09/11/2023 18:52:54,16

9.8,0.62,253.7,0.63,254.9,0.68,251.8,283.4,09/11/2023 18:52:56,16

9.92,0.62,253.6,0.63,255,0.68,251.6,283,09/11/2023 18:52:58,16

9.82,0.62,253.5,0.62,254.9,0.68,251.4,282.9,09/11/2023 18:53:00,16

9.89,0.62,253.6,0.62,254.8,0.68,251.4,282.7,09/11/2023 18:53:03,16

9.99,0.62,253.5,0.62,254.8,0.68,251.4,282.8,09/11/2023 18:53:05,16

9.96,0.62,253.4,0.62,254.9,0.68,251.5,282.7,09/11/2023 18:53:07,16

9.87,0.62,253.5,0.62,254.9,0.68,251.5,283,09/11/2023 18:53:09,16

9.85,0.62,253.6,0.62,254.8,0.68,251.6,282.9,09/11/2023 18:53:12,16

9.96,0.62,253.7,0.63,254.9,0.68,251.7,283.2,09/11/2023 18:53:14,16

9.94,0.62,253.8,0.63,255.1,0.68,251.8,283.5,09/11/2023 18:53:16,16

9.92,0.62,253.1,0.63,253.9,0.67,251.6,281.3,09/11/2023 18:53:18,16

9.87,0.62,252.9,0.63,253.5,0.68,251.6,282.1,09/11/2023 18:53:20,16

9.95,0.62,253.2,0.63,254,0.68,251.7,283.1,09/11/2023 18:53:23,16

9.84,0.62,253.6,0.63,254.9,0.68,251.6,283,09/11/2023 18:53:25,16

9.88,0.62,253.6,0.62,254.8,0.68,251.6,283,09/11/2023 18:53:27,16

9.87,0.62,253.7,0.63,254.9,0.68,251.7,283,09/11/2023 18:53:29,16

9.93,0.62,253.6,0.63,254.9,0.68,251.6,283,09/11/2023 18:53:31,16

9.96,0.62,253.6,0.63,254.9,0.68,251.6,282.9,09/11/2023 18:53:33,16

9.97,0.62,253.5,0.62,254.8,0.68,251.6,282.6,09/11/2023 18:53:36,16

9.81,0.62,253.6,0.62,254.8,0.68,251.5,282.7,09/11/2023 18:53:38,16

9.78,0.62,253.4,0.62,254.6,0.68,251.3,282.2,09/11/2023 18:53:40,16

9.87,0.62,253.5,0.62,254.7,0.68,251.5,282.7,09/11/2023 18:53:42,16

9.9,0.62,253.6,0.62,254.8,0.68,251.6,282.8,09/11/2023 18:53:44,16

9.93,0.62,253.7,0.62,254.9,0.68,251.7,283.1,09/11/2023 18:53:47,16

9.89,0.62,253.6,0.62,254.8,0.68,251.6,282.9,09/11/2023 18:53:49,16

9.84,0.62,253.6,0.62,254.9,0.68,251.7,283.1,09/11/2023 18:53:51,16

9.86,0.62,253.6,0.62,254.9,0.68,251.6,282.9,09/11/2023 18:53:53,16

10.01,0.62,253.7,0.63,255,0.68,251.7,283.4,09/11/2023 18:53:56,16

9.94,0.62,253.8,0.63,255.1,0.68,251.7,283.1,09/11/2023 18:53:58,16

9.94,0.62,253.9,0.63,255.1,0.68,251.9,283.4,09/11/2023 18:54:00,16

9.86,0.62,253.8,0.63,255.1,0.68,252,283.5,09/11/2023 18:54:02,16

9.88,0.62,253.9,0.63,255.2,0.68,251.9,283.5,09/11/2023 18:54:04,16

9.9,0.62,254,0.63,255.1,0.68,252.1,283.7,09/11/2023 18:54:06,16

9.98,0.62,254,0.63,255.3,0.68,252.1,283.8,09/11/2023 18:54:09,16

9.92,0.62,253.9,0.63,255.1,0.68,251.7,283.4,09/11/2023 18:54:11,16

9.91,0.62,253.6,0.63,254.8,0.68,251.7,283.2,09/11/2023 18:54:13,16

9.83,0.62,253.5,0.62,254.8,0.68,251.5,282.8,09/11/2023 18:54:15,16

9.9,0.62,253.5,0.62,254.7,0.68,251.5,282.8,09/11/2023 18:54:18,16

