Acceleration,Current_1,Voltage_1,Current_2,Voltage_2,Current_3,Voltage_3,Power,formattedTimestamp,stringPersonalizado
10.03,17.17,242.8,16.05,244,18.88,241.6,7770.6,14/11/2023 15:43:56,10

8.46,17.17,242.8,16.05,244,18.88,241.6,7770.6,14/11/2023 15:43:56,10

7.82,17.17,242.8,16.05,244,18.88,241.6,7770.6,14/11/2023 15:43:56,10

17.17,242.8,7.43,16.05,244,18.88,241.6,7770.6,14/11/2023 15:43:56,10

17.17,242.8,16.05,9.44,244,18.88,241.6,7770.6,14/11/2023 15:43:56,10

13.13,17.17,242.8,18.87,243.1,18.88,241.6,8037.3,14/11/2023 15:43:56,10

17.17,242.8,18.87,243.1,18.88,241.6,8037.3,11.49,14/11/2023 15:43:56,10

17.17,9.59,242.8,18.87,243.1,18.88,241.6,8037.3,14/11/2023 15:43:56,10

17.17,242.8,10.99,18.87,243.1,18.88,241.6,8037.3,14/11/2023 15:43:56,10

17.17,242.8,18.87,243.1,18.88,241.6,8037.3,10.1,14/11/2023 15:43:56,10

9.44,19.79,242,18.87,243.1,21.13,240.9,9027.7,14/11/2023 15:43:57,10

19.79,242,18.87,243.1,21.13,240.9,9027.7,9.95,14/11/2023 15:43:57,10

19.79,242,18.87,243.1,21.13,240.9,9027.7,11.12,14/11/2023 15:43:57,10

19.79,242,18.87,243.1,21.13,240.9,9027.7,8.5,14/11/2023 15:43:57,10

19.79,242,18.87,243.1,21.13,240.9,9027.7,7.95,14/11/2023 15:43:57,10

8.17,19.79,242,18.87,243.1,21.13,240.9,9027.7,14/11/2023 15:43:57,10

11.47,19.79,242,18.87,243.1,21.13,240.9,9027.7,14/11/2023 15:43:57,10

9.51,19.79,242,18.87,243.1,21.13,240.9,9027.7,14/11/2023 15:43:57,10

11.71,19.79,242,18.87,243.1,21.13,240.9,9027.7,14/11/2023 15:43:57,10

10.54,19.79,242,18.87,243.1,21.13,240.9,9027.7,14/11/2023 15:43:57,10

10.33,19.79,242,18.87,243.1,21.13,240.9,9027.7,14/11/2023 15:43:57,10

10.82,19.79,242,18.87,243.1,21.13,240.9,9027.7,14/11/2023 15:43:57,10

19.79,242,18.87,243.1,21.13,240.9,9027.7,9.2,14/11/2023 15:43:57,10

242,9.6,18.87,243.1,21.13,240.9,9027.7,19.79,14/11/2023 15:43:57,10

242,8.06,18.87,243.1,21.13,240.9,9027.7,19.79,14/11/2023 15:43:57,10

242,18.87,243.1,21.13,240.9,9027.7,19.79,10.85,14/11/2023 15:43:57,10

18.87,243.1,21.13,240.9,9027.7,19.79,242,10.44,14/11/2023 15:43:58,10

18.87,243.1,21.13,240.9,9027.7,12.49,19.79,242,14/11/2023 15:43:58,10

18.87,243.1,21.13,240.9,9027.7,8.52,19.95,241.9,14/11/2023 15:43:58,10

10.8,19.08,243.1,21.27,240.8,9113.8,19.95,241.9,14/11/2023 15:43:58,10

19.08,243.1,21.27,240.8,9113.8,19.95,241.9,10.2,14/11/2023 15:43:58,10

19.95,241.9,19.08,243.1,21.27,240.8,9113.8,12.1,14/11/2023 15:43:58,10

9.47,19.95,241.9,19.08,243.1,21.27,240.8,9113.8,14/11/2023 15:43:58,10

9.37,19.95,241.9,19.08,243.1,21.27,240.8,9113.8,14/11/2023 15:43:58,10

9.64,19.95,241.9,19.08,243.1,21.27,240.8,9113.8,14/11/2023 15:43:58,10

8.12,19.95,241.9,19.08,243.1,21.27,240.8,9113.8,14/11/2023 15:43:58,10

19.95,241.9,19.08,243.1,21.27,240.8,9113.8,9.59,14/11/2023 15:43:58,10

9.19,19.95,241.9,19.08,243.1,21.27,240.8,9113.8,14/11/2023 15:43:58,10

19.95,241.9,19.08,243.1,21.27,240.8,10.19,9113.8,14/11/2023 15:43:58,10

19.95,241.9,19.08,243.1,21.27,240.8,9113.8,9.71,14/11/2023 15:43:58,10

19.95,241.9,19.08,9.73,243.1,21.27,240.8,9113.8,14/11/2023 15:43:58,10

19.95,241.9,9.42,19.08,243.1,21.27,240.8,9113.8,14/11/2023 15:43:58,10

9.7,19.95,241.9,19.08,243.1,21.27,240.8,9113.8,14/11/2023 15:43:59,10

19.95,241.9,19.08,243.1,21.27,240.8,9113.8,9.52,14/11/2023 15:43:59,10

