Acceleration,Current_1,Voltage_1,Current_2,Current_3,Voltage_3,Fecha,true
9.87,0.61,249.9,0.61,0.67,247.4,25/10/2023 18:20:41,
9.93,0.61,249.9,0.61,0.67,247.4,25/10/2023 18:20:43,
9.81,0.61,249.9,0.61,0.67,247.3,25/10/2023 18:20:44,
9.79,0.61,249.9,0.61,0.67,247.4,25/10/2023 18:20:45,
9.77,0.61,249.9,0.61,0.67,247.4,25/10/2023 18:20:46,
9.84,0.61,250,0.61,0.67,247.4,25/10/2023 18:20:47,
9.95,0.61,249.9,0.61,0.67,247.4,25/10/2023 18:20:49,
9.76,0.61,249.9,0.61,0.66,247.4,25/10/2023 18:20:50,
9.83,0.61,250,0.61,0.67,247.5,25/10/2023 18:20:51,
9.85,0.61,250.1,0.61,0.67,247.6,25/10/2023 18:20:52,
9.92,0.61,250,0.61,0.67,247.4,25/10/2023 18:20:53,
9.8,0.61,250.1,0.61,0.67,247.5,25/10/2023 18:20:55,
9.88,0.61,250.1,0.61,0.67,247.7,25/10/2023 18:20:56,
9.84,0.61,250.1,0.61,0.67,247.5,25/10/2023 18:20:57,
9.81,0.61,250,0.61,0.67,247.4,25/10/2023 18:20:58,
9.79,0.61,250,0.61,0.67,247.4,25/10/2023 18:20:59,
0.61,249.8,0.61,0.67,247.3,9.78,25/10/2023 18:21:01,
9.8,0.61,249.7,0.61,0.67,247.1,25/10/2023 18:21:02,
9.83,0.61,249.9,0.61,0.67,247.2,25/10/2023 18:21:03,
9.82,0.61,250,0.61,0.67,247.2,25/10/2023 18:21:04,
9.87,0.61,249.9,0.61,0.67,247.1,25/10/2023 18:21:05,
9.86,0.61,250,0.61,0.67,247.1,25/10/2023 18:21:07,
9.9,0.61,250,0.61,0.67,247.2,25/10/2023 18:21:08,
9.9,0.61,250,0.61,0.67,247.1,25/10/2023 18:21:09,
9.81,0.61,249.8,0.61,0.67,247,25/10/2023 18:21:10,
9.79,0.61,250,0.61,0.67,247.1,25/10/2023 18:21:11,
